journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
Accounts of Chemical Research,0001-4842,1520-4898,2025-09-08,NA,acs2025iowa
Accounts of Materials Research,NA,2643-6728,2025-09-08,NA,acs2025iowa
ACS Agricultural Science & Technology,NA,2692-1952,2025-09-08,NA,acs2025iowa
ACS Applied Bio Materials,NA,2576-6422,2025-09-08,NA,acs2025iowa
ACS Applied Electronic Materials,NA,2637-6113,2025-09-08,NA,acs2025iowa
ACS Applied Energy Materials,NA,2574-0962,2025-09-08,NA,acs2025iowa
ACS Applied Engineering Materials,NA,2771-9545,2025-09-08,NA,acs2025iowa
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2025-09-08,NA,acs2025iowa
ACS Applied Nano Materials,NA,2574-0970,2025-09-08,NA,acs2025iowa
ACS Applied Optical Materials,NA,2771-9855,2025-09-08,NA,acs2025iowa
ACS Applied Polymer Materials,NA,2637-6105,2025-09-08,NA,acs2025iowa
ACS Biomaterials Science & Engineering,NA,2373-9878,2025-09-08,NA,acs2025iowa
ACS Catalysis,NA,2155-5435,2025-09-08,NA,acs2025iowa
ACS Chemical Biology,1554-8929,1554-8937,2025-09-08,NA,acs2025iowa
ACS Chemical Health & Safety,NA,1878-0504,2025-09-08,NA,acs2025iowa
ACS Chemical Neuroscience,NA,1948-7193,2025-09-08,NA,acs2025iowa
ACS Combinatorial Science,2156-8952,2156-8944,2025-09-08,NA,acs2025iowa
ACS Earth and Space Chemistry,NA,2472-3452,2025-09-08,NA,acs2025iowa
ACS Energy Letters,NA,2380-8195,2025-09-08,NA,acs2025iowa
ACS ES&T Air,NA,2837-1402,2025-09-08,NA,acs2025iowa
ACS Electrochemistry,NA,NA,2025-09-08,NA,acs2025iowa
ACS ES&T Engineering,NA,2690-0645,2025-09-08,NA,acs2025iowa
ACS ES&T Water,NA,2690-0637,2025-09-08,NA,acs2025iowa
ACS Food Science & Technology,NA,2692-1944,2025-09-08,NA,acs2025iowa
ACS Infectious Diseases,NA,2373-8227,2025-09-08,NA,acs2025iowa
ACS Macro Letters,NA,2161-1653,2025-09-08,NA,acs2025iowa
ACS Materials Letters,NA,2639-4979,2025-09-08,NA,acs2025iowa
ACS Medicinal Chemistry Letters,NA,1948-5875,2025-09-08,NA,acs2025iowa
ACS Nano,1936-0851,1936-086X,2025-09-08,NA,acs2025iowa
ACS Nano Medicine,NA,3067-5928,2025-09-08,NA,acs2025iowa
ACS Nutrition Science,NA,3067-6037,2025-09-08,NA,acs2025iowa
ACS Pharmacology & Translational Science,NA,2575-9108,2025-09-08,NA,acs2025iowa
ACS Photonics,NA,2330-4022,2025-09-08,NA,acs2025iowa
ACS Sensors,NA,2379-3694,2025-09-08,NA,acs2025iowa
ACS Sustainable Chemistry & Engineering,NA,2168-0485,2025-09-08,NA,acs2025iowa
ACS Sustainable Resource Management,NA,2837-1445,2025-09-08,NA,acs2025iowa
ACS Synthetic Biology,NA,2161-5063,2025-09-08,NA,acs2025iowa
Analytical Chemistry,0003-2700,1520-6882,2025-09-08,NA,acs2025iowa
Biochemistry,0006-2960,1520-4995,2025-09-08,NA,acs2025iowa
Bioconjugate Chemistry,1043-1802,1520-4812,2025-09-08,NA,acs2025iowa
Biomacromolecules,1525-7797,1526-4602,2025-09-08,NA,acs2025iowa
C&EN Global Enterprise,NA,2474-7408,2025-09-08,NA,acs2025iowa
Chemical Reviews,0009-2665,1520-6890,2025-09-08,NA,acs2025iowa
Chemical Research in Toxicology,NA,1520-5010,2025-09-08,NA,acs2025iowa
Chemistry of Materials,0897-4756,1520-5002,2025-09-08,NA,acs2025iowa
Crystal Growth & Design,1528-7483,1528-7505,2025-09-08,NA,acs2025iowa
Energy & Fuels,0887-0624,1520-5029,2025-09-08,NA,acs2025iowa
Environment & Health,NA,2833-8278,2025-09-08,NA,acs2025iowa
Environmental Science & Technology,0013-936X,1520-5851,2025-09-08,NA,acs2025iowa
Environmental Science & Technology Letters,NA,2328-8930,2025-09-08,NA,acs2025iowa
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,2025-09-08,NA,acs2025iowa
Inorganic Chemistry,0020-1669,1520-510X,2025-09-08,NA,acs2025iowa
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,2025-09-08,NA,acs2025iowa
Journal of Chemical & Engineering Data,0021-9568,1520-5134,2025-09-08,NA,acs2025iowa
Journal of Chemical Education,0021-9584,1938-1328,2025-09-08,NA,acs2025iowa
Journal of Chemical Information and Modeling,1549-9596,1549-960X,2025-09-08,NA,acs2025iowa
Journal of Chemical Theory and Computation,1549-9618,1549-9626,2025-09-08,NA,acs2025iowa
Journal of Medicinal Chemistry,0022-2623,1520-4804,2025-09-08,NA,acs2025iowa
Journal of Natural Products,0163-3864,1520-6025,2025-09-08,NA,acs2025iowa
Journal of Proteome Research,1535-3893,1535-3907,2025-09-08,NA,acs2025iowa
Journal of the American Chemical Society,0002-7863,1520-5126,2025-09-08,NA,acs2025iowa
Journal of The American Society for Mass Spectrometry,1044-0305,1879-1123,2025-09-08,NA,acs2025iowa
Langmuir,0743-7463,1520-5827,2025-09-08,NA,acs2025iowa
Macromolecules,0024-9297,1520-5835,2025-09-08,NA,acs2025iowa
Molecular Pharmaceutics,1543-8384,1543-8392,2025-09-08,NA,acs2025iowa
Nano Letters,1530-6984,1530-6992,2025-09-08,NA,acs2025iowa
Organic Letters,1523-7060,1523-7052,2025-09-08,NA,acs2025iowa
Organic Process Research & Development,1083-6160,1520-586X,2025-09-08,NA,acs2025iowa
Organometallics,0276-7333,1520-6041,2025-09-08,NA,acs2025iowa
The Journal of Organic Chemistry,0022-3263,1520-6904,2025-09-08,NA,acs2025iowa
The Journal of Physical Chemistry A,1089-5639,1520-5215,2025-09-08,NA,acs2025iowa
The Journal of Physical Chemistry B,1520-6106,1520-5207,2025-09-08,NA,acs2025iowa
The Journal of Physical Chemistry C,1932-7447,1932-7455,2025-09-08,NA,acs2025iowa
The Journal of Physical Chemistry Letters,NA,1948-7185,2025-09-08,NA,acs2025iowa
Accounts of Chemical Research,0001-4842,1520-4898,2025-09-09,NA,acs2024vanderbilt
Accounts of Materials Research,NA,2643-6728,2025-09-09,NA,acs2024vanderbilt
ACS Agricultural Science & Technology,NA,2692-1952,2025-09-09,NA,acs2024vanderbilt
ACS Applied Biomaterials,NA,2576-6422,2025-09-09,NA,acs2024vanderbilt
ACS Applied Electronic Materials,NA,2637-6113,2025-09-09,NA,acs2024vanderbilt
ACS Applied Energy Materials,NA,2574-0962,2025-09-09,NA,acs2024vanderbilt
ACS Applied Engineering Materials,NA,2771-9545,2025-09-09,NA,acs2024vanderbilt
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2025-09-09,NA,acs2024vanderbilt
ACS Applied Nano Materials,NA,2574-0970,2025-09-09,NA,acs2024vanderbilt
ACS Applied Optical Materials,NA,2771-9855,2025-09-09,NA,acs2024vanderbilt
ACS Applied Polymer Materials,NA,2637-6105,2025-09-09,NA,acs2024vanderbilt
ACS Bio & Med Chem Au,NA,2694-2437,2025-09-09,NA,acs2024vanderbilt
ACS Biomaterials Science & Engineering,NA,2373-9878,2025-09-09,NA,acs2024vanderbilt
ACS Catalysis,NA,2155-5435,2025-09-09,NA,acs2024vanderbilt
ACS Central Science,2374-7943,2374-7951,2025-09-09,NA,acs2024vanderbilt
ACS Chemical Biology,1554-8929,1554-8937,2025-09-09,NA,acs2024vanderbilt
ACS Chemical Health & Safety,NA,1878-0504,2025-09-09,NA,acs2024vanderbilt
ACS Chemical Neuroscience,NA,1948-7193,2025-09-09,NA,acs2024vanderbilt
