inst_name,ror_id,inst_first_seen,inst_last_seen,esac_id
ARL - Akademie für Raumentwicklung in der Leibniz-Gemeinschaft,https://ror.org/010b6ag76,2025-02-24,NA,eme2023zbw
Bayerische Staatsbibliothek München,https://ror.org/031h71w90,2025-02-24,NA,eme2023zbw
Bibliothek der FH Münster,https://ror.org/00pv45a02,2025-02-24,NA,eme2023zbw
Bibliothek der Helmut-Schmidt-Universität   Hamburg,https://ror.org/04e8jbs38,2025-02-24,NA,eme2023zbw
Bibliothek der Hochschule München,https://ror.org/012k1v959,2025-02-24,NA,eme2023zbw
Deutsche Bundesbank Bibliothek der Zentrale,https://ror.org/03jvfq589,2025-02-24,NA,eme2023zbw
Deutsches Institut für Wirtschaftsforschung,https://ror.org/0050vmv35,2025-02-24,NA,eme2023zbw
Duale Hochschule Baden-Württemberg,https://ror.org/02xdzy536,2025-02-24,NA,eme2023zbw
Georg-August-Universität Göttingen   Niedersächsische Staats- u. Universitätsbibliothek,https://ror.org/05745n787,2025-02-24,NA,eme2023zbw
Hochschul- und Landesbibliothek Fulda,https://ror.org/041bz9r75,2025-02-24,NA,eme2023zbw
Hochschulbibliothek Pforzheim,https://ror.org/00qakfc35,2025-02-24,NA,eme2023zbw
Hochschulbibliothek Reutlingen,https://ror.org/00q644y50,2025-02-24,NA,eme2023zbw
Hochschule für Angewandte Wissenschaften Hamburg,https://ror.org/00fkqwx76,2025-02-24,NA,eme2023zbw
Hochschule Heilbronn,https://ror.org/04g5gcg95,2025-02-24,NA,eme2023zbw
ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V.,https://ror.org/04sy7nb49,2025-02-24,NA,eme2023zbw
Institut für Mittelstandsforschung,https://ror.org/04c7t5k94,2025-02-24,NA,eme2023zbw
Institut für Weltwirtschaft (IfW),https://ror.org/032yym934,2025-02-24,NA,eme2023zbw
IU Internationale Hochschule GmbH / Library and Information Services,https://ror.org/04fdat027,2025-02-24,NA,eme2023zbw
Leibniz-Institut für Agrarentwicklung in Transformationsökonomien (IAMO),https://ror.org/03hkr1v69,2025-02-24,NA,eme2023zbw
Leibniz-Institut für Globale und Regionale Studien,https://ror.org/00681ts17,2025-02-24,NA,eme2023zbw
Leibniz-Institut Für Wirtschaftsforschung Halle,https://ror.org/03gjpvv92,2025-02-24,NA,eme2023zbw
Leuphana Universitätsbibliothek Lüneburg,https://ror.org/02w2y2t16,2025-02-24,NA,eme2023zbw
"Otto-von-Guericke-Universität Magdeburg, Universitätsbibliothek",https://ror.org/00ggpsq73,2025-02-24,NA,eme2023zbw
RWI – Leibniz-Institut für Wirtschaftsforschung,https://ror.org/02pse8162,2025-02-24,NA,eme2023zbw
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),https://ror.org/03wf51b65,2025-02-24,NA,eme2023zbw
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),https://ror.org/042aqky30,2025-02-24,NA,eme2023zbw
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),https://ror.org/04za5zm41,2025-02-24,NA,eme2023zbw
Staats- und Universitätsbibliothek Bremen,https://ror.org/04cwb1p56,2025-02-24,NA,eme2023zbw
Staats- und Universitätsbibliothek Bremen,https://ror.org/04ers2y35,2025-02-24,NA,eme2023zbw
Technische Informationsbibliothek (TIB),https://ror.org/04aj4c181,2025-02-24,NA,eme2023zbw
Technische Informationsbibliothek (TIB),https://ror.org/0304hq317,2025-02-24,NA,eme2023zbw
Universitäts- und Landesbibliothek Düsseldorf,https://ror.org/006k2kk72,2025-02-24,NA,eme2023zbw
Universitäts- und Landesbibliothek Düsseldorf,https://ror.org/024z2rq82,2025-02-24,NA,eme2023zbw
Universitäts- und Stadtbibliothek Köln,https://ror.org/00rcxh774,2025-02-24,NA,eme2023zbw
Universitäts- und Stadtbibliothek Köln,https://ror.org/05mxhda18,2025-02-24,NA,eme2023zbw
Universitätsbibliothek Braunschweig,https://ror.org/010nsgg66,2025-02-24,NA,eme2023zbw
