publisher,country,organization,annual_publications,start_date,end_date,id,url
IEEE,Australia,CSIRO,13,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,ieee2023csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2023csiro/
IOP Publishing,Australia,CAUL,67,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,iop2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023caul/
Karger,Australia,CAUL,30,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,kar2021caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2021caul/
Karger,Australia,CAUL,30,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,kar2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2023caul/
MA Healthcare,Australia,CAUL,10,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,mah2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/mah2022caul/
MA Healthcare,Australia,CAUL,10,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,mah2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/mah2023caul/
Microbiology Society,Australia,CAUL,40,2020-01-01T00:00:00Z,2021-12-31T00:00:00Z,microbio2020caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2020caul
Microbiology Society,Australia,CAUL,40,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,microbio2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2023caul/
Oxford University Press,Australia,CAUL,790,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,oxf2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2022caul/
Portland Press,Australia,CAUL,36,2020-01-01T00:00:00Z,2021-12-31T00:00:00Z,portpress2020caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2020caul
Portland Press,Australia,CAUL,36,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,portpress2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2023caul/
Royal Society of Chemistry,Australia,CSIRO,10,2021-01-01T00:00:00Z,2022-12-31T00:00:00Z,rsc2021csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2021csiro/
Royal Society of Chemistry,Australia,CSIRO,10,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,rsc2023csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2023csiro/
