inst_name,ror_id,inst_first_seen,inst_last_seen,esac_id
Beuth University of Applied Sciences Berlin,https://ror.org/00w7whj55,2026-02-26,NA,acm2021hebis
Bibliothek der Fachhochschule Osnabrueck,https://ror.org/059vymd37,2026-02-26,NA,acm2021hebis
Bibliothek der Hochschule Darmstadt,https://ror.org/047wbd030,2026-02-26,NA,acm2021hebis
Bibliothek der Hochschule Hannover,https://ror.org/03m2kj587,2026-02-26,NA,acm2021hebis
BIS - Bibliotheks - und Informationssystem der Universitaet Oldenburg,https://ror.org/033n9gh91,2026-02-26,NA,acm2021hebis
Brandenburgische Technische Universitaet Cottbus,https://ror.org/02wxx3e24,2026-02-26,NA,acm2021hebis
CODE University of Applied Sciences,https://ror.org/045tmdc16,2026-02-26,NA,acm2021hebis
Constructor University Bremen gGmbH,https://ror.org/02yrs2n53,2026-02-26,NA,acm2021hebis
"Deutsche Hochschule für Praevention und Gesundheitsmanagement (DHfPG), Saarbruecken",https://ror.org/047h65335,2026-02-26,NA,acm2021hebis
Deutsches Patent- und Markenamt,https://ror.org/026x09x35,2026-02-26,NA,acm2021hebis
Duale Hochschule Baden-Wuerttemberg Heidenheim,NA,2026-02-26,NA,acm2021hebis
Duale Hochschule Baden-Wuerttemberg Mannheim,NA,2026-02-26,NA,acm2021hebis
Duale Hochschule Baden-Wuerttemberg Stuttgart,https://ror.org/02xdzy536,2026-02-26,NA,acm2021hebis
Duale Hochschule Baden-Württemberg Ravensburg,https://ror.org/014cnmj57,2026-02-26,NA,acm2021hebis
Duale Hoschschule Baden-Wuerttemberg CAS,https://ror.org/02xdzy536,2026-02-26,NA,acm2021hebis
European Patent Office,https://ror.org/050pmr719,2026-02-26,NA,acm2021hebis
Fachhochschule Dortmund,https://ror.org/03dv91853,2026-02-26,NA,acm2021hebis
Fachhochschule Emden Leer,https://ror.org/01bc76c69,2026-02-26,NA,acm2021hebis
Fachhochschule Erfurt,https://ror.org/01hkc4630,2026-02-26,NA,acm2021hebis
Fachhochschule Kempten,https://ror.org/02m4p8096,2026-02-26,NA,acm2021hebis
Fachhochschule Muenster - University of Applied Sciences,https://ror.org/00pv45a02,2026-02-26,NA,acm2021hebis
Fachhochschule Potsdam,https://ror.org/012m9bp23,2026-02-26,NA,acm2021hebis
Fachhochschule Worms,https://ror.org/031ph8d53,2026-02-26,NA,acm2021hebis
Fachhochschule Wurzburg-Schweinfurt,https://ror.org/01k5h5v15,2026-02-26,NA,acm2021hebis
FH Aachen - University of Applied Sciences,https://ror.org/04tqgg260,2026-02-26,NA,acm2021hebis
Frankfurt University of Applied Sciences,https://ror.org/02r625m11,2026-02-26,NA,acm2021hebis
Georg-August-Universitaet Niedersaechsische Staats- und Universitaetsbibiothek Goettingen,https://ror.org/01y9bpm73,2026-02-26,NA,acm2021hebis
Hamburg University of Technology,https://ror.org/04bs1pb34,2026-02-26,NA,acm2021hebis
Helmut Schmidt Universitaet,https://ror.org/04e8jbs38,2026-02-26,NA,acm2021hebis
Hochschul- und Landesbibliothek Fulda,https://ror.org/041bz9r75,2026-02-26,NA,acm2021hebis
Hochschul- und Landesbibliothek RheinMain,https://ror.org/0378gm372,2026-02-26,NA,acm2021hebis
Hochschulbibliothek der Fachhochschule Duesseldorf,https://ror.org/024z2rq82,2026-02-26,NA,acm2021hebis
Hochschulbibliothek der HTWG Konstanz,https://ror.org/051qw9f78,2026-02-26,NA,acm2021hebis
Hochschulbibliothek der Technischen Hochschule Nuernberg Georg Simon Ohm,https://ror.org/00nggaz43,2026-02-26,NA,acm2021hebis
Hochschule Aalen - Technik und Wirtzschaft,https://ror.org/04gg60e72,2026-02-26,NA,acm2021hebis
Hochschule Augsburg,https://ror.org/016604a03,2026-02-26,NA,acm2021hebis
Hochschule Bonn-Rhein-Sieg,https://ror.org/04m2anh63,2026-02-26,NA,acm2021hebis
Hochschule Flensburg,https://ror.org/01xpfrc74,2026-02-26,NA,acm2021hebis
Hochschule fuer Angewandte Wissenschaften Hamburg,https://ror.org/00fkqwx76,2026-02-26,NA,acm2021hebis
Hochschule fuer Gestaltung Schwaebisch Gemund,https://ror.org/016zq4f37,2026-02-26,NA,acm2021hebis
Hochschule fuer Technik und Wirtschaft des Saarlandes,https://ror.org/02ge27m07,2026-02-26,NA,acm2021hebis
Hochschule fuer Technik und Wirtschaft Dresden,https://ror.org/05q5pk319,2026-02-26,NA,acm2021hebis
Hochschule fur Angewandte Wissenschaften Hof,https://ror.org/04q5vv384,2026-02-26,NA,acm2021hebis
Hochschule fur angewandte Wissenschaften Neu-Ulm UAS,https://ror.org/03ggzay52,2026-02-26,NA,acm2021hebis
Hochschule fur Technik und Wirtschaft Berlin,https://ror.org/01xzwj424,2026-02-26,NA,acm2021hebis
Hochschule Furtwangen -Bibliothek,https://ror.org/02m11x738,2026-02-26,NA,acm2021hebis
Hochschule Hamm-Lippstadt,https://ror.org/001rdde17,2026-02-26,NA,acm2021hebis
Hochschule Kaiserslautern,https://ror.org/05dkqa017,2026-02-26,NA,acm2021hebis
Hochschule München - University of Applied Sciences,https://ror.org/012k1v959,2026-02-26,NA,acm2021hebis
Hochschule Mannheim,https://ror.org/04p61dj41,2026-02-26,NA,acm2021hebis
Hochschule Niederrhein Hochschulbibliothek,https://ror.org/027b9qx26,2026-02-26,NA,acm2021hebis
Hochschule Offenburg,https://ror.org/03zh5eq96,2026-02-26,NA,acm2021hebis
Hochschule Ravensburg-Weingarten,https://ror.org/00s4rmz74,2026-02-26,NA,acm2021hebis
Hochschule Regensburg,https://ror.org/04b9vrm74,2026-02-26,NA,acm2021hebis
Hochschule Reutlingen,https://ror.org/00q644y50,2026-02-26,NA,acm2021hebis
Hochschule Rhein Waal,https://ror.org/04wdt0z89,2026-02-26,NA,acm2021hebis
Hochschule Ruhr West,https://ror.org/02nkxrq89,2026-02-26,NA,acm2021hebis
Hochschule Zittau-Goerlitz,https://ror.org/056tzgr32,2026-02-26,NA,acm2021hebis
IU Internationale Hochschule Bad Honnef,NA,2026-02-26,NA,acm2021hebis
Jade Hochschule,https://ror.org/02vvvm705,2026-02-26,NA,acm2021hebis
Karlsruher Instituts fuer Technologie,https://ror.org/04t3en479,2026-02-26,NA,acm2021hebis
Leuphana University Library of Lueneburg,https://ror.org/02w2y2t16,2026-02-26,NA,acm2021hebis
NEC Laboratories Europe GmbH,https://ror.org/04qae1p49,2026-02-26,NA,acm2021hebis
