inst_name,ror_id,inst_first_seen,inst_last_seen,esac_id
"Academy of Sciences of Albania, Scientific Library",https://ror.org/016sx0y50,2023-01-18,NA,compbio2021eifl
"Agricultural University of Tirana, Scientific Library",https://ror.org/03k793y62,2023-01-18,NA,compbio2021eifl
"Albanian School of Magistrates, Tirana",NA,2023-01-18,NA,compbio2021eifl
European University of Tirana,https://ror.org/05r7c5x85,2023-01-18,NA,compbio2021eifl
Library of Prime Minister's Office,NA,2023-01-18,NA,compbio2021eifl
"Politechnic University of Tirana (PUT), Scientific Library",https://ror.org/03g9v2404,2023-01-18,NA,compbio2021eifl
"Public libary “QemalBaholli”, Elbasan",NA,2023-01-18,NA,compbio2021eifl
"Public library ""Apostol Meksi"", Gjirokastra",NA,2023-01-18,NA,compbio2021eifl
"Public library ""Gjon Gazulli"", Rreshen",NA,2023-01-18,NA,compbio2021eifl
"Public Library ""Marin Barleti"", Shkodra",NA,2023-01-18,NA,compbio2021eifl
"Public Library “Dritëro Agolli”, Fier",NA,2023-01-18,NA,compbio2021eifl
"Public Library “Gjergj Fishta”, Lezha",NA,2023-01-18,NA,compbio2021eifl
"Public Library “Thimi Mitko”, Korçë",NA,2023-01-18,NA,compbio2021eifl
"Public Library “Vexhi Buharaja”, Berat",NA,2023-01-18,NA,compbio2021eifl
"Public Library, Durrës",NA,2023-01-18,NA,compbio2021eifl
"Public library, Roskovec",NA,2023-01-18,NA,compbio2021eifl
"PUT, Faculty of Civil Engineering",https://ror.org/05aec4025,2023-01-18,NA,compbio2021eifl
"PUT, Faculty of Electrical Engineering",https://ror.org/05aec4025,2023-01-18,NA,compbio2021eifl
"PUT, Faculty of Geology of Mining",https://ror.org/05aec4025,2023-01-18,NA,compbio2021eifl
"University ""Aleksandër Moisiu"", Durrës",https://ror.org/023p15505,2023-01-18,NA,compbio2021eifl
"University ""EqeremÇabej"", Gjirokastra",https://ror.org/040sw6c10,2023-01-18,NA,compbio2021eifl
"University ""Ismail Qemali"", Vlora",https://ror.org/05ger6s34,2023-01-18,NA,compbio2021eifl
"University ""Luigj Gurakuqi"", Shkodra",https://ror.org/05jsntm46,2023-01-18,NA,compbio2021eifl
"University College “Wisdom”, Tirana",NA,2023-01-18,NA,compbio2021eifl
"University of Medicine, Tirana",https://ror.org/03y2x8717,2023-01-18,NA,compbio2021eifl
"University of Tirana (UT), Faculty of Natural Sciences",https://ror.org/03g9v2404,2023-01-18,NA,compbio2021eifl
"UT, Faculty of Law",https://ror.org/03g9v2404,2023-01-18,NA,compbio2021eifl
"UT, Faculty of Social Sciences",https://ror.org/03g9v2404,2023-01-18,NA,compbio2021eifl
"UT, Faculty of History and Philology",https://ror.org/03g9v2404,2023-01-18,NA,compbio2021eifl
"""Shirak State University named after M.Nalbandyan"" Foundation",https://ror.org/04k0ww995,2023-01-18,NA,compbio2021eifl
Shirakatsy Lyceum International Scientific-Educational Complex» CJSC,NA,2023-01-18,NA,compbio2021eifl
American University of Armenia,https://ror.org/04dngzj56,2023-01-18,NA,compbio2021eifl
Armenian State Institute of Physical Culture and Sport,NA,2023-01-18,NA,compbio2021eifl
National Library of Armenia,NA,2023-01-18,NA,compbio2021eifl
Public Administration Academy of the RA,NA,2023-01-18,NA,compbio2021eifl
Russian-Armenian University,https://ror.org/01v4e7289,2023-01-18,NA,compbio2021eifl
University of Traditional Medicine,NA,2023-01-18,NA,compbio2021eifl
UWC Dilijan College,NA,2023-01-18,NA,compbio2021eifl
"Yerevan Municipality
“City Central Library after Av. Isahakyan” CNCO",NA,2023-01-18,NA,compbio2021eifl
Azerbaijan State Oil and Industry University,https://ror.org/05mmnns11,2023-01-18,NA,compbio2021eifl
Azerbaijan Medical University,https://ror.org/016a0n751,2023-01-18,NA,compbio2021eifl
Azerbaijan National Sicence of Academy- Institute of Physics,https://ror.org/006m4q736,2023-01-18,NA,compbio2021eifl
"Azerbaijan National Sicence of Academy, Scientific Central Library",https://ror.org/006m4q736,2023-01-18,NA,compbio2021eifl
Azerbaijan State Economy University,https://ror.org/000y2g343,2023-01-18,NA,compbio2021eifl
Azerbaijan State Oil and Industry University,https://ror.org/05mmnns11,2023-01-18,NA,compbio2021eifl
Azerbaijan Tourizm and Management University,NA,2023-01-18,NA,compbio2021eifl
Azerbaijan University MMC,https://ror.org/00g1psz15,2023-01-18,NA,compbio2021eifl
Baku Higher Oil School,https://ror.org/00hvga705,2023-01-18,NA,compbio2021eifl
Baku State University,https://ror.org/054gw3b40,2023-01-18,NA,compbio2021eifl
Institute of Information Technology (Azerbaijan National Academy of Sciences),https://ror.org/006m4q736,2023-01-18,NA,compbio2021eifl
Justice Academy of Minustry of Justice of Azerbaijan Republic,NA,2023-01-18,NA,compbio2021eifl
Khazar University,https://ror.org/014te7048,2023-01-18,NA,compbio2021eifl
Oilgazscienceproject Institute (SOCAR),https://ror.org/00tcejj11,2023-01-18,NA,compbio2021eifl
The Academy of State Customs Committee of the Republic of Azerbaijan,NA,2023-01-18,NA,compbio2021eifl
Institut Supérieur de Commerce de Beni (ISC),https://ror.org/03pkpht31,2023-01-18,NA,compbio2021eifl
Institut Supérieur de Développement Rural de Bunia (ISDR Bunia),https://ror.org/00pdgtx79,2023-01-18,NA,compbio2021eifl
Institut Supérieur de Techniques Médicales d’Oicha (ISTM),NA,2023-01-18,NA,compbio2021eifl
Institut Supérieur de Techniques Médicales de Nyankunde (ISTM),NA,2023-01-18,NA,compbio2021eifl
Institut Supérieur des Techniques Médicales de Bunia\,NA,2023-01-18,NA,compbio2021eifl
Institut Supérieur Pédagogique CECA20 (ISP CECA20),https://ror.org/03mxhve08,2023-01-18,NA,compbio2021eifl
Institut Supérieur Pédagogique de Bunia (ISP Bunia),NA,2023-01-18,NA,compbio2021eifl
Institut Supérieur Théologique des Assemblées de Dieu du Congo (IST),NA,2023-01-18,NA,compbio2021eifl
Université Anglicane du Congo (UAC),NA,2023-01-18,NA,compbio2021eifl
Université Chrétienne Bilingue du Congo (UCBC),https://ror.org/002c8b395,2023-01-18,NA,compbio2021eifl
Université de Bunia (UNIBU),https://ror.org/0346q5236,2023-01-18,NA,compbio2021eifl
Université du Lac Albert (UNILAC),NA,2023-01-18,NA,compbio2021eifl
"Université Evangélique de la Mission en Afrique, Bunia (UEMA)",NA,2023-01-18,NA,compbio2021eifl
